Date,BND,CHFEUR=X,CHFUSD=X,CSBGC3.SW,EL4W.DE,EURUSD=X,GLD,GSG,HYG,IEF,LQD,MTUM,SHY,SPY,UDN,VT,VTV,^IRX
2015-12-31,60.719852447509766,0.9252399802207947,1.012145757675171,,,1.093398094177246,101.45999908447266,14.229999542236328,47.74418258666992,85.04194641113281,80.94834899902344,65.18157196044922,70.14173126220703,173.29818725585938,18.664621353149414,46.750755310058594,63.60604476928711,0.14800000190734863
2016-01-01,,0.9194899797439575,0.9986417889595032,,,1.0859060287475586,,,,,,,,,,,,
2016-01-04,60.689796447753906,0.9214900135993958,1.0005003213882446,60.72296905517578,68.36932373046875,1.0853991508483887,102.88999938964844,14.119999885559082,47.459800720214844,85.40438079833984,80.90576171875,63.86532211303711,70.2331771850586,170.8756561279297,18.638479232788086,45.9637336730957,62.8336067199707,0.1550000011920929
2016-01-05,60.764984130859375,0.9211500287055969,0.9975858926773071,60.601009368896484,68.37197875976562,1.0827549695968628,103.18000030517578,13.979999542236328,47.54868698120117,85.38021850585938,80.94834899902344,64.1677017211914,70.19163513183594,171.16461181640625,18.52520179748535,45.971839904785156,63.036460876464844,0.20499999821186066
2016-01-06,61.0356559753418,0.9221900105476379,0.9916700124740601,60.63690185546875,68.37197875976562,1.0751993656158447,104.66999816894531,13.569999694824219,47.54868698120117,85.89567565917969,81.26786804199219,63.829750061035156,70.2331771850586,169.00555419921875,18.56005859375,45.29030227661133,62.139163970947266,0.20499999821186066
2016-01-07,61.043182373046875,0.9208899736404419,0.9926642179489136,60.73017120361328,68.36932373046875,1.0778998136520386,106.1500015258789,13.4399995803833,47.24059295654297,86.08089447021484,81.3317642211914,62.40675735473633,70.25811767578125,164.9508056640625,18.743045806884766,44.23551559448242,60.68792724609375,0.1899999976158142
2016-01-08,61.11833572387695,0.9207299947738647,1.0063399076461792,60.601009368896484,68.36844635009766,1.0925976037979126,105.68000030517578,13.420000076293945,47.11614990234375,86.29834747314453,81.39566040039062,61.81087875366211,70.30802917480469,163.14019775390625,18.725618362426758,43.71625900268555,59.970088958740234,0.1899999976158142
2016-01-11,60.86273193359375,0.9209799766540527,1.007962942123413,60.60819625854492,68.37288665771484,1.0941038131713867,104.73999786376953,12.960000038146973,47.04507827758789,86.02452087402344,81.13298797607422,62.18441390991211,70.3330078125,163.30172729492188,18.629764556884766,43.740596771240234,59.93107986450195,0.17499999701976776
2016-01-12,61.02062225341797,0.9193199872970581,0.998502254486084,60.593841552734375,68.37643432617188,1.0857999324798584,104.20999908447266,12.930000305175781,47.09244918823242,86.4111099243164,81.31752014160156,62.851444244384766,70.34130096435547,164.6193084716797,18.60362434387207,43.9839973449707,60.29780197143555,0.20999999344348907
2016-01-13,61.170982360839844,0.9191200137138367,0.9971083998680115,60.622535705566406,68.37377166748047,1.0843987464904785,104.72000122070312,12.829999923706055,46.571041107177734,86.7493896484375,81.56608581542969,60.91262435913086,70.38286590576172,160.51356506347656,18.647193908691406,43.00224304199219,59.04156494140625,0.2150000035762787
2016-01-14,61.09577178955078,0.912909984588623,0.9940357208251953,60.7158088684082,68.36756134033203,1.0886012315750122,103.0199966430664,12.890000343322754,46.7784423828125,86.57215881347656,81.16136932373047,61.597434997558594,70.39949798583984,163.14871215820312,18.594913482666016,43.70001220703125,60.00129318237305,0.23999999463558197
2016-01-15,61.20106506347656,0.9158300161361694,0.9948268532752991,60.64406967163086,68.36400604248047,1.085894227027893,104.08000183105469,12.550000190734863,46.16223907470703,86.97483825683594,81.04061889648438,60.43238830566406,70.45770263671875,159.646484375,18.60362434387207,42.4748649597168,58.706077575683594,0.22300000488758087
2016-01-18,,0.9137399792671204,0.9983028173446655,60.55799102783203,68.36311340332031,1.0920010805130005,,,,,,,,,,,,
2016-01-19,61.125850677490234,0.9131600260734558,0.9950248599052429,60.76908493041992,68.361328125,1.0895025730133057,103.9800033569336,12.420000076293945,46.002254486083984,86.86213684082031,80.67855072021484,60.85927963256836,70.44943237304688,159.85906982421875,18.594913482666016,42.60468673706055,58.71388626098633,0.23000000417232513
2016-01-20,61.19352340698242,0.9132400155067444,0.9968101382255554,60.66716384887695,68.36311340332031,1.09129798412323,105.37000274658203,12.279999732971191,45.69411849975586,87.28899383544922,80.79932403564453,60.290061950683594,70.4992904663086,157.8104248046875,18.594913482666016,41.923133850097656,57.81660079956055,0.2529999911785126
2016-01-21,61.155941009521484,0.9139900207519531,0.9944608211517334,60.78364181518555,68.36666107177734,1.0877013206481934,105.48999786376953,12.529999732971191,46.002254486083984,87.07154083251953,80.56500244140625,60.494598388671875,70.4909896850586,158.69448852539062,18.61233901977539,42.16655349731445,58.081886291503906,0.27300000190734863
2016-01-22,61.13338851928711,0.9133300185203552,0.9921619296073914,60.67445373535156,68.36576843261719,1.0862009525299072,105.0,13.020000457763672,46.707298278808594,86.87822723388672,80.61463928222656,61.686363220214844,70.46601867675781,161.95016479492188,18.481632232666016,43.22132110595703,59.11183547973633,0.2879999876022339
2016-01-25,61.13338851928711,0.9112300276756287,0.9841357469558716,60.81276321411133,68.36576843261719,1.079901933670044,106.08000183105469,12.59000015258789,46.24517822265625,87.16820526123047,80.5294418334961,61.02825164794922,70.46601867675781,159.5020294189453,18.586198806762695,42.547874450683594,58.081886291503906,0.2750000059604645
