Date,BND,CHFEUR=X,CHFUSD=X,CSBGC3.SW,EL4W.DE,EURUSD=X,GLD,GSG,HYG,IEF,LQD,MTUM,SHY,SPY,UDN,VT,VTV,^IRX
2024-09-03,70.97145080566406,1.0611300468444824,1.1745774745941162,62.38648223876953,67.42369842529297,1.1067456007003784,230.2899932861328,20.56999969482422,73.18515014648438,92.94263458251953,105.15304565429688,189.15341186523438,78.69599914550781,543.7808837890625,17.778179168701172,112.66764831542969,166.3346710205078,4.96999979019165
2024-09-04,71.28606414794922,1.0646899938583374,1.176567554473877,62.32851028442383,67.48847961425781,1.1048868894577026,230.42999267578125,20.329999923706055,73.45491790771484,93.4864501953125,105.8058853149414,188.90655517578125,78.86748504638672,542.6678466796875,17.835161209106445,112.4232177734375,166.2373809814453,4.947999954223633
2024-09-05,71.4576416015625,1.0665980577468872,1.1819771528244019,62.40388107299805,67.47882843017578,1.1080454587936401,232.35000610351562,20.3799991607666,73.70603942871094,93.70587158203125,106.32624053955078,187.79074096679688,78.89603424072266,541.347900390625,17.89214324951172,112.22765350341797,165.00172424316406,4.932000160217285
2024-09-06,71.54344177246094,1.0664730072021484,1.1851009130477905,62.46186065673828,67.4957275390625,1.1111111640930176,230.6300048828125,20.09000015258789,73.61302185058594,93.83944702148438,106.2789306640625,183.69290161132812,79.03897857666016,532.2369384765625,17.901639938354492,110.32102966308594,162.89044189453125,4.9079999923706055
2024-09-09,71.63877868652344,1.0686039924621582,1.1849182844161987,62.41353988647461,67.50298309326172,1.1087212562561035,231.60000610351562,20.190000534057617,73.78975677490234,93.97300720214844,106.51546478271484,186.8230743408203,79.04851531982422,538.1959228515625,17.825664520263672,111.45523071289062,164.61256408691406,4.894999980926514
2024-09-10,71.8770980834961,1.0666999816894531,1.1772323846817017,62.41934585571289,67.5107192993164,1.1037527322769165,232.6199951171875,19.84000015258789,73.6502456665039,94.37371063232422,106.80878448486328,187.1982879638672,79.16280364990234,540.5401611328125,17.8161678314209,111.57255554199219,164.7974090576172,4.835000038146973
2024-09-11,71.8389663696289,1.0717079639434814,1.181167483329773,62.450260162353516,67.5198974609375,1.1020983457565308,232.25,20.06999969482422,73.76185607910156,94.30692291259766,106.8561019897461,190.1902313232422,79.09613037109375,546.0856323242188,17.806671142578125,112.48188781738281,164.61256408691406,4.875
2024-09-12,71.76268768310547,1.0651220083236694,1.1728830337524414,62.29758834838867,67.50345611572266,1.1010911464691162,236.3300018310547,20.43000030517578,73.86416625976562,94.154296875,106.7804183959961,192.70819091796875,79.10567474365234,550.6854248046875,17.882644653320312,113.4498519897461,165.60496520996094,4.840000152587891
2024-09-13,71.91522216796875,1.0620449781417847,1.1766366958618164,62.438663482666016,67.53681182861328,1.1077877283096313,238.67999267578125,20.43000030517578,74.06879425048828,94.33555603027344,107.11153411865234,194.28807067871094,79.22000885009766,553.5615234375,17.911136627197266,114.04629516601562,166.7919464111328,4.763000011444092
2024-09-16,72.10586547851562,1.0633699893951416,1.1796625852584839,62.442543029785156,67.5474624633789,1.1088441610336304,238.66000366210938,20.600000381469727,74.25484466552734,94.58358001708984,107.58460235595703,194.82131958007812,79.26762390136719,554.3790283203125,17.977615356445312,114.48629760742188,168.11514282226562,4.744999885559082
2024-09-17,72.01055908203125,1.0636999607086182,1.1840205192565918,62.442543029785156,67.56388854980469,1.1129536628723145,237.33999633789062,20.760000228881836,74.27344512939453,94.41187286376953,107.59407043457031,194.70281982421875,79.21048736572266,554.6055908203125,17.911136627197266,114.4178466796875,168.0470428466797,4.735000133514404
2024-09-18,71.7912826538086,1.0621600151062012,1.1815721988677979,62.349769592285156,67.55277252197266,1.1123099327087402,235.50999450683594,20.610000610351562,74.33854675292969,94.00163269042969,107.14938354492188,194.09060668945312,79.18186950683594,552.960693359375,17.911136627197266,114.09517669677734,167.6773223876953,4.614999771118164
2024-09-19,71.7912826538086,1.0617599487304688,1.1802195310592651,62.396148681640625,67.57259368896484,1.1114816665649414,239.1699981689453,21.010000228881836,74.56180572509766,93.92530059814453,107.24400329589844,197.86260986328125,79.24857330322266,562.3966674804688,17.968116760253906,116.11915588378906,169.146484375,4.5929999351501465
2024-09-20,71.78176879882812,1.0568480491638184,1.179551362991333,62.37489700317383,67.5474624633789,1.1161960363388062,242.2100067138672,21.030000686645508,74.65481567382812,93.89669799804688,107.33859252929688,199.0376739501953,79.27714538574219,561.4244995117188,17.977615356445312,115.68447875976562,168.9907989501953,4.545000076293945
2024-09-23,71.73409271240234,1.0529199838638306,1.1752262115478516,62.30725860595703,67.58177947998047,1.1160838603973389,242.67999267578125,21.040000915527344,74.51527404785156,93.83944702148438,107.1872329711914,200.1534423828125,79.27714538574219,562.8273315429688,17.94912338256836,116.05734252929688,169.5843048095703,4.502999782562256
2024-09-24,71.81990051269531,1.0619699954986572,1.1801916360855103,62.485050201416016,67.62141418457031,1.1111727952957153,246.07000732421875,21.34000015258789,74.52458953857422,93.94439697265625,107.36699676513672,200.44969177246094,79.35338592529297,564.4378051757812,18.044092178344727,116.84231567382812,169.6621551513672,4.494999885559082
2024-09-25,71.55297088623047,1.0616799592971802,1.1883400678634644,62.4811897277832,67.60691833496094,1.1191190481185913,245.72999572753906,21.1200008392334,74.44087219238281,93.56277465820312,106.73310089111328,200.8356170654297,79.28668975830078,563.1929931640625,17.968116760253906,116.26339721679688,168.6502685546875,4.486999988555908
2024-09-26,71.55297088623047,1.0560669898986816,1.1756821870803833,62.500511169433594,67.64170837402344,1.1131023168563843,246.97999572753906,20.8799991607666,74.56180572509766,93.49600219726562,106.73310089111328,201.18197631835938,79.21048736572266,565.42578125,18.02509880065918,117.70577239990234,169.59317016601562,4.4679999351501465
2024-09-27,71.76268768310547,1.0570600032806396,1.1816978454589844,62.41548156738281,67.65959167480469,1.117717981338501,245.02000427246094,21.059999465942383,74.74781799316406,93.86807250976562,107.1588363647461,199.83615112304688,79.33431243896484,564.6057739257812,18.07258415222168,117.36234283447266,170.14088439941406,4.48199987411499
2024-09-30,71.60063171386719,1.064079999923706,1.1897679567337036,62.53916549682617,67.62045288085938,1.1169815063476562,243.05999755859375,21.0,74.69202423095703,93.61046600341797,106.8939208984375,200.64759826660156,79.22000885009766,566.8682861328125,17.987112045288086,117.45065307617188,170.74732971191406,4.498000144958496
2024-10-01,71.81193542480469,1.0621800422668457,1.1829979419708252,62.51982879638672,67.69247436523438,1.113660216331482,245.61000061035156,21.360000610351562,74.65462493896484,93.95111083984375,107.40765380859375,199.5293731689453,79.27066040039062,561.7901000976562,17.89214324951172,116.70494842529297,170.33651733398438,4.48199987411499
2024-10-02,71.6780776977539,1.0678060054779053,1.1815582513809204,62.500511169433594,67.68473052978516,1.1063904762268066,245.66000366210938,21.549999237060547,74.66397094726562,93.68318939208984,107.17027282714844,200.1132354736328,79.25153350830078,562.027099609375,17.8161678314209,116.88155364990234,170.21914672851562,4.4730000495910645
2024-10-03,71.36256408691406,1.0649299621582031,1.1765950918197632,62.490848541259766,67.68619537353516,1.1048502922058105,245.49000549316406,21.940000534057617,74.48638916015625,93.20477294921875,106.47705841064453,199.6976318359375,79.1463851928711,560.9995727539062,17.759185791015625,116.23395538330078,169.4757843017578,4.465000152587891
2024-10-04,70.89408111572266,1.063750982284546,1.1739706993103027,62.4232063293457,67.68473052978516,1.103557825088501,245.0,21.989999771118164,74.4022445678711,92.30538177490234,105.89779663085938,201.63717651367188,78.87874603271484,566.0977172851562,17.664216995239258,117.26422882080078,170.7962188720703,4.505000114440918
2024-10-07,70.68375396728516,1.0613009929656982,1.164564609527588,62.46378707885742,67.68473052978516,1.0974539518356323,244.1699981689453,22.350000381469727,74.08446502685547,91.97046661376953,105.35655212402344,200.19239807128906,78.77360534667969,560.9797973632812,17.664216995239258,116.5577621459961,169.51490783691406,4.525000095367432
2024-10-08,70.7889175415039,1.0661100149154663,1.1701655387878418,62.46572494506836,67.7103500366211,1.0975743532180786,242.3699951171875,21.760000228881836,74.26203918457031,92.0470199584961,105.56546020507812,202.18145751953125,78.84051513671875,566.2853393554688,17.67371368408203,116.75399780273438,169.7007598876953,4.5279998779296875
2024-10-09,70.59768676757812,1.0624730587005615,1.1663167476654053,62.4579963684082,67.69873809814453,1.0975743532180786,241.0500030517578,21.610000610351562,74.21533203125,91.70256042480469,105.35655212402344,203.8043670654297,78.7640380859375,570.2077026367188,17.597740173339844,117.21517181396484,171.18746948242188,4.534999847412109
2024-10-10,70.56902313232422,1.062000036239624,1.1621556282043457,62.442543029785156,67.72590637207031,1.0943313837051392,242.82000732421875,22.049999237060547,74.17793273925781,91.69300079345703,105.24259948730469,202.86427307128906,78.8309555053711,569.2098388671875,17.597740173339844,117.02873229980469,170.65928649902344,4.53000020980835
2024-10-11,70.57857513427734,1.0676230192184448,1.1674741506576538,62.365230560302734,67.71815490722656,1.0933860540390015,245.47000122070312,22.040000915527344,74.37421417236328,91.72168731689453,105.22360229492188,205.19969177246094,78.89786529541016,572.618408203125,17.616731643676758,117.83332824707031,172.44921875,4.514999866485596
2024-10-14,70.53076934814453,1.0665420293807983,1.1650937795639038,62.485050201416016,67.72737121582031,1.0925379991531372,245.07000732421875,21.690000534057617,74.4115982055664,91.55902099609375,105.23310089111328,206.78302001953125,78.85962677001953,577.3013916015625,17.559751510620117,118.42205047607422,173.525146484375,4.51800012588501
2024-10-15,70.80804443359375,1.0629479885101318,1.1599582433700562,62.515968322753906,67.73172760009766,1.0909169912338257,245.9199981689453,21.200000762939453,74.39290618896484,92.02787017822266,105.7458724975586,204.67520141601562,78.89786529541016,572.8159790039062,17.540756225585938,117.20535278320312,172.59596252441406,4.514999866485596
2024-10-16,70.90364837646484,1.0650759935379028,1.159366488456726,62.548831939697266,67.75355529785156,1.0884116888046265,247.14999389648438,21.149999618530273,74.52377319335938,92.17140197753906,106.0782241821289,206.47622680664062,78.9456558227539,575.3057250976562,17.49327278137207,117.78427124023438,173.85768127441406,4.502999782562256
2024-10-17,70.55945587158203,1.0639599561691284,1.1556684970855713,62.55848693847656,67.7598648071289,1.0862481594085693,248.6300048828125,21.139999389648438,74.4115982055664,91.69300079345703,105.29008483886719,206.47622680664062,78.87874603271484,575.3550415039062,17.43629264831543,117.72540283203125,173.681640625,4.514999866485596
2024-10-18,70.59768676757812,1.066019058227539,1.1548277139663696,62.483123779296875,67.77877807617188,1.0829542875289917,251.27000427246094,20.989999771118164,74.58918762207031,91.7982406616211,105.16661071777344,207.149169921875,78.9456558227539,577.5682373046875,17.51226806640625,118.30431365966797,173.92616271972656,4.513000011444092
2024-10-21,70.11964416503906,1.0636199712753296,1.156162977218628,62.55848693847656,67.77877807617188,1.0868619680404663,251.22000122070312,21.1299991607666,74.29008483886719,91.09017181396484,104.09359741210938,206.53562927246094,78.8309555053711,576.6197509765625,17.43629264831543,117.69596099853516,172.2633819580078,4.51800012588501
2024-10-22,70.14834594726562,1.068120002746582,1.1555217504501343,62.548831939697266,67.7889633178711,1.0817828178405762,253.92999267578125,21.440000534057617,74.18728637695312,91.00406646728516,104.0841064453125,205.89239501953125,78.82139587402344,576.3134155273438,17.398303985595703,117.41141510009766,172.0090789794922,4.5
2024-10-23,69.97624969482422,1.0699880123138428,1.1553614139556885,62.552696228027344,67.80497741699219,1.079727053642273,250.8699951171875,21.3799991607666,73.96293640136719,90.79356384277344,103.73275756835938,205.41738891601562,78.77360534667969,571.0474243164062,17.350820541381836,116.39096069335938,171.6178436279297,4.505000114440918
2024-10-24,70.09097290039062,1.0700900554656982,1.1537485122680664,62.57781982421875,67.8151626586914,1.0780508518218994,252.8000030517578,21.34000015258789,74.17793273925781,90.9945068359375,104.0461196899414,204.81375122070312,78.81183624267578,572.282470703125,17.41729736328125,116.69512939453125,171.03097534179688,4.486999988555908
2024-10-25,69.94754791259766,1.066769003868103,1.1549078226089478,62.597137451171875,67.84765625,1.0824151039123535,253.32000732421875,21.520000457763672,74.10315704345703,90.79356384277344,103.79923248291016,203.59657287597656,78.78315734863281,572.0848999023438,17.36031723022461,116.49889373779297,169.8279266357422,4.510000228881836
2024-10-28,69.86150360107422,1.0663939714431763,1.151463508605957,62.597137451171875,67.83067321777344,1.0796570777893066,253.3300018310547,20.889999389648438,74.29008483886719,90.58305358886719,103.71376037597656,204.36843872070312,78.74491882324219,573.8533935546875,17.379308700561523,117.10723114013672,170.75711059570312,4.48199987411499
2024-10-29,69.91887664794922,1.0687999725341797,1.1562565565109253,62.597137451171875,67.84959411621094,1.0816774368286133,256.0899963378906,20.81999969482422,74.30877685546875,90.62133026123047,103.83721160888672,204.16061401367188,78.77360534667969,574.7821044921875,17.350820541381836,117.00911712646484,169.62249755859375,4.480000019073486
